[Header]
Application Name	LabSolutions
Version	5.82
Data File Name	C:\LabSolutions\Data\A Legan\Data\gcd files\data_before_FS19\LadderwithIS_nov_14.gcd
Output Date	4/15/2022
Output Time	7:45:44 AM

[File Information]
Type	Data File
Generated	11/15/2018 12:15:58 PM
Generated by	Administrator
Modified	11/15/2018 1:20:55 PM
Modified by	Administrator

[Sample Information]
Operator Name	Administrator
Acquired	11/15/2018 12:20:51 PM
Sample Type	0:Unknown
Level	0
Sample Name	ladder w/ IS
Sample ID	ladder w/ IS
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	16
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\A Legan\data\LadderwithIS_nov_14.gcd
Method File	C:\LabSolutions\Data\A Legan\AWL Nov 6 ladder.gcm
Batch File	C:\LabSolutions\Data\A Legan\batch_AWL_nov14_overnight.gcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	GC-2014
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#1
Detector Name	SFID1
# of Channels	1

[Peak Table(Ch1)]
# of Peaks	69
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
33	26.489	26.274	26.745	1456005	256971	5.666	0.000	 V 			9.939	470412	0.319	0.876	2.008	1.012	0	0	0.000	0.000
34	28.163	27.898	28.383	1443449	258094	5.593	0.000	   			10.631	601794	0.249	0.875	11.174	1.070	0	0	0.000	0.000
35	28.902	28.845	29.046	1409	219	6.434	0.000	 V 			10.936	574956	0.261	0.000	4.966	1.029	0	0	0.000	0.000
36	29.268	29.186	29.331	1279	292	4.376	0.000	   			11.087	967602	0.155	0.000	2.696	1.014	0	0	0.000	0.000
37	29.385	29.331	29.522	1739	350	4.976	0.000	 V 			11.136	793526	0.189	0.000	0.933	1.004	0	0	0.000	0.000
38	29.782	29.522	30.045	1443642	255154	5.658	0.000	 V 			11.300	591728	0.253	0.866	2.769	1.015	0	0	0.000	0.000
39	31.346	31.132	31.622	1407254	242278	5.808	0.000	   			11.945	602490	0.249	0.869	9.882	1.057	0	0	0.000	0.000
40	31.825	31.697	31.958	1001	121	8.246	0.000	   			12.143	244681	0.613	1.070	2.287	1.017	0	0	0.000	0.000
41	32.387	32.294	32.495	5052	1141	4.430	0.000	   			12.375	1290277	0.116	1.332	3.030	1.019	0	0	0.000	0.000
42	32.551	32.495	32.667	1067	153	6.967	0.000	 V 			12.443	196529	0.763	0.000	0.800	1.005	0	0	0.000	0.000
43	32.858	32.667	33.073	1434014	256028	5.601	0.000	 V 			12.570	783852	0.191	0.871	1.390	1.010	0	0	0.000	0.000
44	34.324	34.109	34.539	1398727	248133	5.637	0.000	   			13.175	922683	0.163	0.854	10.065	1.048	0	0	0.000	0.000
45	35.216	35.117	35.267	6065	1416	4.284	0.000	   			13.543	1186238	0.126	0.000	6.549	1.028	0	0	0.000	0.000
46	35.290	35.267	35.402	3630	872	4.165	0.000	 V 			13.574	326396	0.460	0.000	0.397	1.002	0	0	0.000	0.000
47	35.503	35.402	35.561	3964	656	6.046	0.000	 V 			13.662	383007	0.392	0.000	0.892	1.006	0	0	0.000	0.000
48	35.742	35.561	36.102	1368446	239239	5.720	0.000	SV 			13.761	976874	0.154	0.859	1.278	1.007	0	0	0.000	0.000
49	37.124	36.466	37.357	1341093	221188	6.063	0.000	   			14.331	761352	0.197	0.851	8.777	1.041	0	0	0.000	0.000
50	37.893	37.483	38.011	9617	1924	4.999	0.000	   			14.649	1543559	0.097	1.362	5.268	1.022	0	0	0.000	0.000
51	38.467	38.011	38.678	1349660	218760	6.170	0.000	 V 			14.886	827815	0.181	0.847	3.945	1.016	0	0	0.000	0.000
52	39.065	38.678	39.159	5428	269	20.193	0.000	 V 			15.133	58905	2.546	0.000	1.471	1.017	0	0	0.000	0.000
53	39.476	39.159	39.588	5069	219	23.121	0.000	 V 			15.303	921	162.860	0.000	0.140	1.011	0	0	0.000	0.000
54	39.870	39.588	40.097	1337965	210097	6.368	0.000	 V 			15.465	883851	0.170	0.807	0.147	1.011	0	0	0.000	0.000
55	40.639	40.531	40.783	9638	2033	4.742	0.000	   			15.783	1707486	0.088	1.165	5.231	1.021	0	0	0.000	0.000
56	41.401	41.137	41.655	1313707	182831	7.185	0.000	   			16.098	756637	0.198	0.780	4.845	1.020	0	0	0.000	0.000
57	42.091	41.996	42.276	2489	406	6.130	0.000	   			16.383	1093570	0.137	1.412	3.926	1.018	0	0	0.000	0.000
58	42.696	42.486	42.841	7011	525	13.349	0.000	   			16.632	182900	0.820	0.000	2.158	1.015	0	0	0.000	0.000
59	43.114	42.841	43.359	1260784	161686	7.798	0.000	 V 			16.805	635773	0.236	0.745	1.358	1.010	0	0	0.000	0.000
60	43.997	43.858	44.171	10074	1656	6.085	0.000	   			17.170	1182552	0.127	1.081	4.670	1.022	0	0	0.000	0.000
61	45.079	44.721	45.314	1298399	132300	9.814	0.000	   			17.617	440060	0.341	0.709	4.991	1.026	0	0	0.000	0.000
62	45.665	45.515	45.823	8848	1326	6.672	0.000	   			17.859	1031313	0.145	1.014	2.597	1.014	0	0	0.000	0.000
63	45.945	45.823	46.173	4693	704	6.663	0.000	   			17.975	1103718	0.136	1.268	1.579	1.006	0	0	0.000	0.000
64	47.333	46.919	47.573	1169294	107671	10.860	0.000	   			18.548	336201	0.446	0.675	5.536	1.032	0	0	0.000	0.000
65	48.422	48.249	48.613	8851	1108	7.988	0.000	   			18.998	843847	0.178	1.018	4.053	1.024	0	0	0.000	0.000
66	49.977	49.481	50.247	1185236	91643	12.933	0.000	   			19.639	310623	0.483	0.658	5.459	1.034	0	0	0.000	0.000
67	53.060	52.491	53.588	1120681	71296	15.719	0.000	S  			20.913	215500	0.696	0.667	7.559	1.065	0	0	0.000	0.000
68	53.355	53.317	53.448	3619	642	5.634	0.000	T  			21.034	3858359	0.039	1.614	1.040	1.006	0	0	0.000	0.000
69	53.980	53.602	55.571	112668	1940	58.086	0.000	   			21.293	18746	8.002	2.473	0.742	1.012	0	0	0.000	0.000

[Compound Results(Ch1)]
# of IDs	0

[Group Results(Ch1)]
# of Groups	0

[Chromatogram (Ch1)]
Interval(msec)	40
# of Points	90000
Start Time(min)	0.001
End Time(min)	60.000
R.Time (min)	Intensity
0.00050	6
0.00117	6
0.00183	6
0.00250	6
0.00317	6
0.00383	6
0.00450	6
0.00517	6
0.00583	6
0.00650	6
0.00717	6
0.00783	6
0.00850	6
0.00917	7
0.00983	7
0.01050	7
0.01117	7
0.01183	7
0.01250	7
0.01317	7
0.01383	7
0.01450	7
0.01517	7
0.01583	7
0.01650	8
0.01717	8
0.01783	8
0.01850	8
0.01917	8
0.01983	8
0.02050	8
0.02117	8
0.02183	8
0.02250	8
0.02317	8
0.02383	8
0.02450	8
0.02517	8
0.02583	8
0.02650	8
0.02717	8
0.02783	8
0.02850	8
0.02917	8
0.02983	8
0.03050	8
0.03117	8
0.03183	9
0.03250	9
0.03317	9
0.03383	9
0.03450	9
0.03517	9
0.03583	9
0.03650	9
0.03717	9
0.03783	9
0.03850	9
0.03917	9
0.03983	9
0.04050	9
0.04117	9
0.04183	9
0.04250	9
0.04317	9
0.04383	9
0.04450	8
0.04517	8
0.04583	8
0.04650	8
0.04717	8
0.04783	8
0.04850	9
0.04917	9
0.04983	9
0.05050	9
0.05117	9
0.05183	9
0.05250	9
0.05317	9
0.05383	9
0.05450	9
0.05517	9
0.05583	10
0.05650	10
0.05717	10
0.05783	10
0.05850	10
0.05917	10
0.05983	10
0.06050	11
0.06117	11
0.06183	11
0.06250	11
0.06317	11
0.06383	12
0.06450	12
0.06517	12
0.06583	12
0.06650	12
0.06717	13
0.06783	13
0.06850	13
0.06917	13
0.06983	14
0.07050	14
0.07117	14
0.07183	14
0.07250	15
0.07317	15
0.07383	15
0.07450	16
0.07517	16
0.07583	16
0.07650	16
0.07717	16
0.07783	17
0.07850	17
0.07917	17
0.07983	17
0.08050	17
0.08117	17
0.08183	18
0.08250	18
0.08317	18
0.08383	18
0.08450	18
0.08517	18
0.08583	18
0.08650	18
0.08717	19
0.08783	19
0.08850	19
0.08917	19
0.08983	19
0.09050	19
0.09117	19
0.09183	19
0.09250	19
0.09317	19
0.09383	19
0.09450	19
0.09517	19
0.09583	19
0.09650	19
0.09717	18
0.09783	18
0.09850	18
0.09917	18
0.09983	18
0.10050	18
0.10117	18
0.10183	18
0.10250	18
0.10317	18
0.10383	18
0.10450	18
0.10517	18
0.10583	18
0.10650	18
0.10717	18
0.10783	18
0.10850	18
0.10917	18
0.10983	18
0.11050	18
0.11117	18
0.11183	19
0.11250	19
0.11317	19
0.11383	19
0.11450	19
0.11517	19
0.11583	19
0.11650	19
0.11717	19
0.11783	19
0.11850	19
0.11917	19
0.11983	19
0.12050	19
0.12117	19
0.12183	19
0.12250	19
0.12317	19
0.12383	19
0.12450	19
0.12517	19
0.12583	19
0.12650	19
0.12717	19
0.12783	19
0.12850	19
0.12917	19
0.12983	19
0.13050	20
0.13117	20
0.13183	20
0.13250	20
0.13317	20
0.13383	20
0.13450	20
0.13517	20
0.13583	21
0.13650	21
0.13717	21
0.13783	21
0.13850	21
0.13917	21
0.13983	21
0.14050	21
0.14117	21
0.14183	21
0.14250	21
0.14317	21
0.14383	22
0.14450	22
0.14517	22
0.14583	22
0.14650	22
0.14717	22
0.14783	22
0.14850	22
0.14917	22
0.14983	22
0.15050	22
0.15117	22
0.15183	23
0.15250	23
0.15317	23
0.15383	23
0.15450	23
0.15517	23
0.15583	23
0.15650	23
0.15717	23
0.15783	23
0.15850	23
0.15917	23
0.15983	23
0.16050	23
0.16117	23
0.16183	23
